file	frontend/components/exam/reading-exam-preview.tsx
component	ReadingExamPreview
start	996
end	5265

index	kind	start	end	lines	names	local_refs	all_refs
164	function	2266	2280	15	toggleFullscreen	isExamMode,isFullscreen,isReviewMode,isSubmitted,setFullscreenDialogStage,updateActiveDialog	document,isExamMode,isFullscreen,isReviewMode,isSubmitted,setFullscreenDialogStage,updateActiveDialog
165	derived	2282	2284	3	headerControlClass		cn
166	effect	2286	2316	31		containerRef,isDraggingSplit,setIsDraggingSplit,setSplitRatio	Math,Number,PointerEvent,containerRef,document,isDraggingSplit,setIsDraggingSplit,setSplitRatio,useEffect,window
167	effect	2318	2366	49		allowLeaveRef,isReviewMode,isSubmitted,updateActiveDialog	BeforeUnloadEvent,KeyboardEvent,allowLeaveRef,isReviewMode,isSubmitted,updateActiveDialog,useEffect,window
168	function	2368	2389	22	confirmLeave	allowLeaveRef,examData,flushPendingAnswerSaves,flushPendingProgressSave,isSubmitted,markSyncError,router,updateActiveDialog,writeAttemptBackup	Date,allowLeaveRef,document,examData,flushPendingAnswerSaves,flushPendingProgressSave,isSubmitted,markSyncError,router,undefined,updateActiveDialog,writeAttemptBackup
169	function	2391	2394	4	startSplitDrag	setIsDraggingSplit	HTMLButtonElement,ReactPointerEvent,setIsDraggingSplit
170	function	2396	2399	4	clearSelection	setSelectionToolbar	setSelectionToolbar,window
171	function	2401	2404	4	hasActiveSelection		Boolean,window
172	function	2406	2408	3	getTextOffsets		HTMLElement,Range,getHighlightTextOffsets
173	function	2410	2443	34	handleTextBlockMouseUp	getTextOffsets,setSelectionToolbar,textBlockRefs	HTMLElement,ReactMouseEvent,getTextOffsets,setSelectionToolbar,textBlockRefs,window
174	function	2445	2459	15	normalizeHighlights		Math,TextHighlight
175	function	2461	2482	22	applyHighlight	clearSelection,normalizeHighlights,selectionToolbar,setTextHighlights	Date,clearSelection,normalizeHighlights,selectionToolbar,setTextHighlights
176	function	2484	2501	18	clearHighlight	clearSelection,selectionToolbar,setTextHighlights	clearSelection,selectionToolbar,setTextHighlights
177	function	2503	2509	7	startHeadingDrag	setDraggingHeading	setDraggingHeading
178	function	2511	2523	13	resolveHeadingDropTarget		HTMLElement,document
179	function	2525	2533	9	isHeadingBankDropTarget		HTMLElement,document
180	function	2535	2547	13	resolveWordBankDropTarget		HTMLElement,document
181	function	2549	2557	9	isWordBankBankDropTarget		HTMLElement,document
